timestamp,fundingTime,symbol,fundingRate,markPrice,source_record_id,instId,realizedRate
2026-06-02T00:00:00Z,1780358400000,BTCUSDT,0.0001,71268.5,okx-funding:BTC-USDT-SWAP:1780358400000,BTC-USDT-SWAP,0.0001
2026-06-02T08:00:00Z,1780387200000,BTCUSDT,0.0001,69798.1,okx-funding:BTC-USDT-SWAP:1780387200000,BTC-USDT-SWAP,0.0001
2026-06-02T16:00:00Z,1780416000000,BTCUSDT,0.0001,67392.1,okx-funding:BTC-USDT-SWAP:1780416000000,BTC-USDT-SWAP,0.0001
2026-06-03T00:00:00Z,1780444800000,BTCUSDT,0.0000865678874748,66904.1,okx-funding:BTC-USDT-SWAP:1780444800000,BTC-USDT-SWAP,0.0000865678874748
2026-06-03T08:00:00Z,1780473600000,BTCUSDT,0.0000278658186139,66990.4,okx-funding:BTC-USDT-SWAP:1780473600000,BTC-USDT-SWAP,0.0000278658186139
2026-06-03T16:00:00Z,1780502400000,BTCUSDT,0.0001,66041,okx-funding:BTC-USDT-SWAP:1780502400000,BTC-USDT-SWAP,0.0001
2026-06-04T00:00:00Z,1780531200000,BTCUSDT,0.0000987113820589,63309.2,okx-funding:BTC-USDT-SWAP:1780531200000,BTC-USDT-SWAP,0.0000987113820589
2026-06-04T08:00:00Z,1780560000000,BTCUSDT,0.0000209870467977,63603.1,okx-funding:BTC-USDT-SWAP:1780560000000,BTC-USDT-SWAP,0.0000209870467977
2026-06-04T16:00:00Z,1780588800000,BTCUSDT,0.0000015995235891,63539.1,okx-funding:BTC-USDT-SWAP:1780588800000,BTC-USDT-SWAP,0.0000015995235891
2026-06-05T00:00:00Z,1780617600000,BTCUSDT,0.0000366527172313,63399.4,okx-funding:BTC-USDT-SWAP:1780617600000,BTC-USDT-SWAP,0.0000366527172313
