timestamp,open_time,symbol,mark_close,index_close,premium,premium_rate,confirm,source_record_id
2026-06-01T23:00:00Z,1780354800000,BTCUSDT,71384.6,71410.5,-25.9,-0.000362691761015,1,okx-premium:BTC-USDT-SWAP:1780354800000
2026-06-02T00:00:00Z,1780358400000,BTCUSDT,71268.5,71288,-19.5,-0.00027353832342,1,okx-premium:BTC-USDT-SWAP:1780358400000
2026-06-02T01:00:00Z,1780362000000,BTCUSDT,70612.3,70648.3,-36,-0.000509566401456,1,okx-premium:BTC-USDT-SWAP:1780362000000
2026-06-02T02:00:00Z,1780365600000,BTCUSDT,70818.8,70837.9,-19.1,-0.00026962967564,1,okx-premium:BTC-USDT-SWAP:1780365600000
2026-06-02T03:00:00Z,1780369200000,BTCUSDT,70931.8,70950.4,-18.6,-0.000262154970233,1,okx-premium:BTC-USDT-SWAP:1780369200000
2026-06-02T04:00:00Z,1780372800000,BTCUSDT,70789.4,70809.7,-20.3,-0.00028668388653,1,okx-premium:BTC-USDT-SWAP:1780372800000
2026-06-02T05:00:00Z,1780376400000,BTCUSDT,70247.6,70268.2,-20.6,-0.000293162483171,1,okx-premium:BTC-USDT-SWAP:1780376400000
2026-06-02T06:00:00Z,1780380000000,BTCUSDT,70090.9,70107.7,-16.8,-0.000239631310113,1,okx-premium:BTC-USDT-SWAP:1780380000000
2026-06-02T07:00:00Z,1780383600000,BTCUSDT,70086.3,70114.2,-27.9,-0.000397922246849,1,okx-premium:BTC-USDT-SWAP:1780383600000
2026-06-02T08:00:00Z,1780387200000,BTCUSDT,69798.1,69819.2,-21.1,-0.00030220913445,1,okx-premium:BTC-USDT-SWAP:1780387200000
2026-06-02T09:00:00Z,1780390800000,BTCUSDT,69401.9,69425.3,-23.4,-0.000337052918749,1,okx-premium:BTC-USDT-SWAP:1780390800000
2026-06-02T10:00:00Z,1780394400000,BTCUSDT,69627,69649.4,-22.4,-0.000321610810718,1,okx-premium:BTC-USDT-SWAP:1780394400000
2026-06-02T11:00:00Z,1780398000000,BTCUSDT,69435.6,69457.5,-21.9,-0.000315300723464,1,okx-premium:BTC-USDT-SWAP:1780398000000
2026-06-02T12:00:00Z,1780401600000,BTCUSDT,68982.9,69010.1,-27.2,-0.000394145204833,1,okx-premium:BTC-USDT-SWAP:1780401600000
2026-06-02T13:00:00Z,1780405200000,BTCUSDT,68785.7,68798.3,-12.6,-0.000183144060246,1,okx-premium:BTC-USDT-SWAP:1780405200000
2026-06-02T14:00:00Z,1780408800000,BTCUSDT,68009.9,68019.7,-9.8,-0.000144075907421,1,okx-premium:BTC-USDT-SWAP:1780408800000
2026-06-02T15:00:00Z,1780412400000,BTCUSDT,67279.6,67296.5,-16.9,-0.000251127473197,1,okx-premium:BTC-USDT-SWAP:1780412400000
2026-06-02T16:00:00Z,1780416000000,BTCUSDT,67392.1,67413.6,-21.5,-0.000318926744752,1,okx-premium:BTC-USDT-SWAP:1780416000000
2026-06-02T17:00:00Z,1780419600000,BTCUSDT,67461.3,67483.9,-22.6,-0.000334894693401,1,okx-premium:BTC-USDT-SWAP:1780419600000
2026-06-02T18:00:00Z,1780423200000,BTCUSDT,67310.9,67332.5,-21.6,-0.000320796049456,1,okx-premium:BTC-USDT-SWAP:1780423200000
2026-06-02T19:00:00Z,1780426800000,BTCUSDT,67280.6,67315.5,-34.9,-0.000518454145033,1,okx-premium:BTC-USDT-SWAP:1780426800000
2026-06-02T20:00:00Z,1780430400000,BTCUSDT,67548.8,67585.8,-37,-0.000547452275478,1,okx-premium:BTC-USDT-SWAP:1780430400000
2026-06-02T21:00:00Z,1780434000000,BTCUSDT,67533.3,67564.7,-31.4,-0.000464739723554,1,okx-premium:BTC-USDT-SWAP:1780434000000
2026-06-02T22:00:00Z,1780437600000,BTCUSDT,66360.8,66384.2,-23.4,-0.000352493515023,1,okx-premium:BTC-USDT-SWAP:1780437600000
2026-06-02T23:00:00Z,1780441200000,BTCUSDT,66723.1,66756.3,-33.2,-0.000497331338016,1,okx-premium:BTC-USDT-SWAP:1780441200000
2026-06-03T00:00:00Z,1780444800000,BTCUSDT,66904.1,66933.1,-29,-0.000433268442669,1,okx-premium:BTC-USDT-SWAP:1780444800000
2026-06-03T01:00:00Z,1780448400000,BTCUSDT,66881.8,66912.7,-30.9,-0.000461795742811,1,okx-premium:BTC-USDT-SWAP:1780448400000
2026-06-03T02:00:00Z,1780452000000,BTCUSDT,66589.4,66614.1,-24.7,-0.000370792369784,1,okx-premium:BTC-USDT-SWAP:1780452000000
2026-06-03T03:00:00Z,1780455600000,BTCUSDT,65821,65848.5,-27.5,-0.000417625306575,1,okx-premium:BTC-USDT-SWAP:1780455600000
2026-06-03T04:00:00Z,1780459200000,BTCUSDT,66435.7,66464.1,-28.4,-0.000427298346025,1,okx-premium:BTC-USDT-SWAP:1780459200000
2026-06-03T05:00:00Z,1780462800000,BTCUSDT,67287.8,67326.1,-38.3,-0.000568872992792,1,okx-premium:BTC-USDT-SWAP:1780462800000
2026-06-03T06:00:00Z,1780466400000,BTCUSDT,66945.9,66979.7,-33.8,-0.000504630507452,1,okx-premium:BTC-USDT-SWAP:1780466400000
2026-06-03T07:00:00Z,1780470000000,BTCUSDT,67186.9,67223.4,-36.5,-0.000542965693494,1,okx-premium:BTC-USDT-SWAP:1780470000000
2026-06-03T08:00:00Z,1780473600000,BTCUSDT,66990.4,67025.3,-34.9,-0.000520698900266,1,okx-premium:BTC-USDT-SWAP:1780473600000
2026-06-03T09:00:00Z,1780477200000,BTCUSDT,67041.8,67071.6,-29.8,-0.00044430131382,1,okx-premium:BTC-USDT-SWAP:1780477200000
2026-06-03T10:00:00Z,1780480800000,BTCUSDT,67259.4,67292.7,-33.3,-0.000494853082132,1,okx-premium:BTC-USDT-SWAP:1780480800000
2026-06-03T11:00:00Z,1780484400000,BTCUSDT,67038.3,67065.6,-27.3,-0.000407064128257,1,okx-premium:BTC-USDT-SWAP:1780484400000
2026-06-03T12:00:00Z,1780488000000,BTCUSDT,67048.5,67078.9,-30.4,-0.000453197652317,1,okx-premium:BTC-USDT-SWAP:1780488000000
2026-06-03T13:00:00Z,1780491600000,BTCUSDT,66885.6,66902.1,-16.5,-0.000246629029582,1,okx-premium:BTC-USDT-SWAP:1780491600000
2026-06-03T14:00:00Z,1780495200000,BTCUSDT,66842.5,66860.5,-18,-0.000269217250843,1,okx-premium:BTC-USDT-SWAP:1780495200000
2026-06-03T15:00:00Z,1780498800000,BTCUSDT,66057.3,66073.1,-15.8,-0.000239129085816,1,okx-premium:BTC-USDT-SWAP:1780498800000
2026-06-03T16:00:00Z,1780502400000,BTCUSDT,66041,66060.7,-19.7,-0.000298210585113,1,okx-premium:BTC-USDT-SWAP:1780502400000
2026-06-03T17:00:00Z,1780506000000,BTCUSDT,65942.8,65963.3,-20.5,-0.000310778872494,1,okx-premium:BTC-USDT-SWAP:1780506000000
2026-06-03T18:00:00Z,1780509600000,BTCUSDT,66008.9,66031.3,-22.4,-0.000339233060685,1,okx-premium:BTC-USDT-SWAP:1780509600000
2026-06-03T19:00:00Z,1780513200000,BTCUSDT,65440.4,65456.5,-16.1,-0.000245964877438,1,okx-premium:BTC-USDT-SWAP:1780513200000
2026-06-03T20:00:00Z,1780516800000,BTCUSDT,64975,65002.4,-27.4,-0.000421522897616,1,okx-premium:BTC-USDT-SWAP:1780516800000
2026-06-03T21:00:00Z,1780520400000,BTCUSDT,65724.3,65762.2,-37.9,-0.000576318918771,1,okx-premium:BTC-USDT-SWAP:1780520400000
2026-06-03T22:00:00Z,1780524000000,BTCUSDT,64890.6,64911.1,-20.5,-0.000315816555258,1,okx-premium:BTC-USDT-SWAP:1780524000000
2026-06-03T23:00:00Z,1780527600000,BTCUSDT,64115.8,64142,-26.2,-0.00040846871005,1,okx-premium:BTC-USDT-SWAP:1780527600000
2026-06-04T00:00:00Z,1780531200000,BTCUSDT,63309.2,63337.7,-28.5,-0.000449968975823,1,okx-premium:BTC-USDT-SWAP:1780531200000
2026-06-04T01:00:00Z,1780534800000,BTCUSDT,62154,62176.5,-22.5,-0.000361873054932,1,okx-premium:BTC-USDT-SWAP:1780534800000
2026-06-04T02:00:00Z,1780538400000,BTCUSDT,63187.5,63221.5,-34,-0.000537791732243,1,okx-premium:BTC-USDT-SWAP:1780538400000
2026-06-04T03:00:00Z,1780542000000,BTCUSDT,64330.4,64364.8,-34.4,-0.000534453614398,1,okx-premium:BTC-USDT-SWAP:1780542000000
2026-06-04T04:00:00Z,1780545600000,BTCUSDT,64361.6,64400.6,-39,-0.000605584420021,1,okx-premium:BTC-USDT-SWAP:1780545600000
2026-06-04T05:00:00Z,1780549200000,BTCUSDT,63930.1,63956,-25.9,-0.000404965914066,1,okx-premium:BTC-USDT-SWAP:1780549200000
