timestamp,open_time,symbol,open,high,low,close,volume_contracts,volume_base,volume_quote,confirm,source_record_id
2026-06-01T20:00:00Z,1780344000000,BTCUSDT,71574.5,71679.2,70812.1,71389.7,1029629.88,10296.2988,733536549.14556,1,okx:BTC-USDT-SWAP:1780344000000
2026-06-02T00:00:00Z,1780358400000,BTCUSDT,71389.7,71391.8,70039.9,70930.1,2088974.06,20889.7406,1476376483.88839,1,okx:BTC-USDT-SWAP:1780358400000
2026-06-02T04:00:00Z,1780372800000,BTCUSDT,70930.1,71031,69690.2,70087,2663099.21,26630.9921,1872003049.18673,1,okx:BTC-USDT-SWAP:1780372800000
2026-06-02T08:00:00Z,1780387200000,BTCUSDT,70086.9,70153.5,69288,69435.1,2069713.73,20697.1373,1440523815.82437,1,okx:BTC-USDT-SWAP:1780387200000
2026-06-02T12:00:00Z,1780401600000,BTCUSDT,69435.2,69532.9,67055,67281,6796304.91,67963.0491,4636195737.86532,1,okx:BTC-USDT-SWAP:1780401600000
2026-06-02T16:00:00Z,1780416000000,BTCUSDT,67281.1,68132.3,66351.2,67284.4,3975613.41,39756.1341,2676687445.79221,1,okx:BTC-USDT-SWAP:1780416000000
2026-06-02T20:00:00Z,1780430400000,BTCUSDT,67284.5,67907,66155.1,66722.6,2889986.45,28899.8645,1933987796.98373,1,okx:BTC-USDT-SWAP:1780430400000
2026-06-03T00:00:00Z,1780444800000,BTCUSDT,66722.7,67182.9,65398.3,65823.7,2704265.09,27042.6509,1795370832.88939,1,okx:BTC-USDT-SWAP:1780444800000
2026-06-03T04:00:00Z,1780459200000,BTCUSDT,65823.6,67477.5,65790.5,67187.5,2863186.36,28631.8636,1915403582.98324,1,okx:BTC-USDT-SWAP:1780459200000
2026-06-03T08:00:00Z,1780473600000,BTCUSDT,67185.6,67450,66620.8,67039.8,1605096.89,16050.9689,1076707299.94392,1,okx:BTC-USDT-SWAP:1780473600000
2026-06-03T12:00:00Z,1780488000000,BTCUSDT,67039.9,67224.5,66050,66057.6,2763852.6,27638.526,1843137205.31845,1,okx:BTC-USDT-SWAP:1780488000000
2026-06-03T16:00:00Z,1780502400000,BTCUSDT,66057.6,66353.7,65215.3,65436.6,2963563.16,29635.6316,1950752585.46663,1,okx:BTC-USDT-SWAP:1780502400000
2026-06-03T20:00:00Z,1780516800000,BTCUSDT,65436.6,65826.8,64056,64117.3,3349271.52,33492.7152,2175632451.06874,1,okx:BTC-USDT-SWAP:1780516800000
2026-06-04T00:00:00Z,1780531200000,BTCUSDT,64117.2,64500,61339.5,64330.4,8985092.72,89850.9272,5667842071.02454,1,okx:BTC-USDT-SWAP:1780531200000
2026-06-04T04:00:00Z,1780545600000,BTCUSDT,64330.4,64737.3,63438.5,63564.9,3327506.5,33275.065,2130835161.19622,1,okx:BTC-USDT-SWAP:1780545600000
2026-06-04T08:00:00Z,1780560000000,BTCUSDT,63564.8,63879.2,62157,62516.7,4523125.38,45231.2538,2843091687.72017,1,okx:BTC-USDT-SWAP:1780560000000
2026-06-04T12:00:00Z,1780574400000,BTCUSDT,62516.7,64455,62352,63863.9,4986227.96,49862.2796,3176435730.63087,1,okx:BTC-USDT-SWAP:1780574400000
2026-06-04T16:00:00Z,1780588800000,BTCUSDT,63863.9,64137.8,62910,63600.7,2719171.93,27191.7193,1728893428.34959,1,okx:BTC-USDT-SWAP:1780588800000
2026-06-04T20:00:00Z,1780603200000,BTCUSDT,63600.7,63887,63070.7,63847.8,1406394.68,14063.9468,892618067.8226,1,okx:BTC-USDT-SWAP:1780603200000
2026-06-05T00:00:00Z,1780617600000,BTCUSDT,63847.7,63958.1,62300,62706.4,2326360.14,23263.6014,1464837549.09956,1,okx:BTC-USDT-SWAP:1780617600000
