timestamp,open_time_ms,open,high,low,close,volume,close_time_ms,source_record_id
2024-01-01T00:00:00Z,1704067200000,42314.00,42832.00,42270.00,42369.80,30275.835,1704081599999,klines_4h:1704067200000
2024-01-01T04:00:00Z,1704081600000,42369.80,42536.00,42207.90,42527.00,18884.162,1704095999999,klines_4h:1704081600000
2024-01-01T08:00:00Z,1704096000000,42527.10,42800.00,42489.40,42727.60,21225.402,1704110399999,klines_4h:1704096000000
2024-01-01T12:00:00Z,1704110400000,42727.70,42887.50,42614.50,42818.00,23160.827,1704124799999,klines_4h:1704110400000
2024-01-01T16:00:00Z,1704124800000,42818.00,43593.20,42693.10,43556.20,46470.443,1704139199999,klines_4h:1704124800000
2024-01-01T20:00:00Z,1704139200000,43556.20,44266.00,43426.00,44230.20,66407.475,1704153599999,klines_4h:1704139200000
2024-01-02T00:00:00Z,1704153600000,44230.30,45565.00,44200.90,45435.00,130549.341,1704167999999,klines_4h:1704153600000
2024-01-02T04:00:00Z,1704168000000,45434.90,45832.80,45153.00,45495.50,46617.839,1704182399999,klines_4h:1704168000000
2024-01-02T08:00:00Z,1704182400000,45495.60,45950.00,45258.00,45486.80,73125.619,1704196799999,klines_4h:1704182400000
2024-01-02T12:00:00Z,1704196800000,45486.80,45850.00,44868.10,45215.00,98947.373,1704211199999,klines_4h:1704196800000
2024-01-02T16:00:00Z,1704211200000,45215.00,45449.20,44783.30,45073.20,59665.882,1704225599999,klines_4h:1704211200000
2024-01-02T20:00:00Z,1704225600000,45073.30,45338.90,44598.00,44979.80,50892.469,1704239999999,klines_4h:1704225600000
2024-01-03T00:00:00Z,1704240000000,44979.70,45463.50,44895.80,45297.80,27249.852,1704254399999,klines_4h:1704240000000
2024-01-03T04:00:00Z,1704254400000,45297.80,45423.00,44960.00,45030.40,27047.436,1704268799999,klines_4h:1704254400000
2024-01-03T08:00:00Z,1704268800000,45030.50,45582.30,43500.00,43728.90,118206.260,1704283199999,klines_4h:1704268800000
2024-01-03T12:00:00Z,1704283200000,43728.90,43738.80,40333.00,43014.00,269274.008,1704297599999,klines_4h:1704283200000
2024-01-03T16:00:00Z,1704297600000,43014.00,43595.90,41920.00,42600.40,121646.733,1704311999999,klines_4h:1704297600000
2024-01-03T20:00:00Z,1704312000000,42600.40,42974.50,42517.60,42849.50,32430.936,1704326399999,klines_4h:1704312000000
2024-01-04T00:00:00Z,1704326400000,42849.50,43236.00,42625.00,43119.60,32954.430,1704340799999,klines_4h:1704326400000
2024-01-04T04:00:00Z,1704340800000,43119.60,43290.00,42765.00,42775.00,34097.989,1704355199999,klines_4h:1704340800000
2024-01-04T08:00:00Z,1704355200000,42775.10,43255.00,42645.10,43188.20,41353.248,1704369599999,klines_4h:1704355200000
2024-01-04T12:00:00Z,1704369600000,43188.20,44343.10,43107.40,44050.40,89531.705,1704383999999,klines_4h:1704369600000
2024-01-04T16:00:00Z,1704384000000,44050.40,44437.50,43773.40,43950.00,67286.547,1704398399999,klines_4h:1704384000000
2024-01-04T20:00:00Z,1704398400000,43950.00,44840.80,43887.20,44143.80,68699.179,1704412799999,klines_4h:1704398400000
2024-01-05T00:00:00Z,1704412800000,44143.80,44284.00,42300.00,43469.10,92493.981,1704427199999,klines_4h:1704412800000
2024-01-05T04:00:00Z,1704427200000,43469.50,43951.70,43193.50,43769.60,36820.465,1704441599999,klines_4h:1704427200000
2024-01-05T08:00:00Z,1704441600000,43769.60,44332.40,43459.00,43769.90,53933.111,1704455999999,klines_4h:1704441600000
2024-01-05T12:00:00Z,1704456000000,43769.90,44119.10,43000.00,43495.20,82365.927,1704470399999,klines_4h:1704456000000
2024-01-05T16:00:00Z,1704470400000,43495.10,43825.20,43090.00,43599.00,50576.810,1704484799999,klines_4h:1704470400000
2024-01-05T20:00:00Z,1704484800000,43599.00,44500.00,43559.00,44145.40,58777.497,1704499199999,klines_4h:1704484800000
2024-01-06T00:00:00Z,1704499200000,44145.30,44214.60,43809.50,43925.80,22344.039,1704513599999,klines_4h:1704499200000
2024-01-06T04:00:00Z,1704513600000,43925.80,43972.00,43391.30,43645.30,32223.565,1704527999999,klines_4h:1704513600000
2024-01-06T08:00:00Z,1704528000000,43645.40,43777.50,43550.00,43669.20,18571.596,1704542399999,klines_4h:1704528000000
2024-01-06T12:00:00Z,1704542400000,43669.20,43925.00,43527.20,43863.60,21680.915,1704556799999,klines_4h:1704542400000
2024-01-06T16:00:00Z,1704556800000,43863.60,44149.90,43817.40,43903.60,23415.539,1704571199999,klines_4h:1704556800000
2024-01-06T20:00:00Z,1704571200000,43903.60,43980.00,43645.00,43956.70,20307.143,1704585599999,klines_4h:1704571200000
2024-01-07T00:00:00Z,1704585600000,43956.60,44267.90,43824.20,43937.20,25504.202,1704599999999,klines_4h:1704585600000
2024-01-07T04:00:00Z,1704600000000,43937.10,44099.60,43830.00,44071.50,16798.655,1704614399999,klines_4h:1704600000000
2024-01-07T08:00:00Z,1704614400000,44071.60,44161.50,43862.80,44054.00,21062.951,1704628799999,klines_4h:1704614400000
2024-01-07T12:00:00Z,1704628800000,44054.00,44486.90,43922.70,44035.00,49020.753,1704643199999,klines_4h:1704628800000
2024-01-07T16:00:00Z,1704643200000,44034.90,44262.30,43686.90,44238.80,32162.368,1704657599999,klines_4h:1704643200000
2024-01-07T20:00:00Z,1704657600000,44238.80,44262.90,43557.50,43916.90,36161.785,1704671999999,klines_4h:1704657600000
2024-01-08T00:00:00Z,1704672000000,43916.90,43975.00,43158.10,43501.90,49205.414,1704686399999,klines_4h:1704672000000
2024-01-08T04:00:00Z,1704686400000,43502.00,44431.10,43417.80,43970.00,52687.145,1704700799999,klines_4h:1704686400000
2024-01-08T08:00:00Z,1704700800000,43969.90,44748.50,43629.70,44637.20,48551.307,1704715199999,klines_4h:1704700800000
2024-01-08T12:00:00Z,1704715200000,44637.20,45440.00,44350.00,44969.60,124466.243,1704729599999,klines_4h:1704715200000
2024-01-08T16:00:00Z,1704729600000,44969.70,47312.00,44783.80,47006.70,168436.314,1704743999999,klines_4h:1704729600000
