timestamp,open_time_ms,open,high,low,close,volume,close_time_ms,source_record_id
2024-01-01T00:00:00Z,1704067200000,42314.00,42603.20,42289.60,42503.50,8459.477,1704070799999,mark_price_klines_1h:1704067200000
2024-01-01T01:00:00Z,1704070800000,42503.50,42832.00,42462.00,42647.90,9043.411,1704074399999,mark_price_klines_1h:1704070800000
2024-01-01T02:00:00Z,1704074400000,42647.90,42676.90,42530.00,42620.40,4653.067,1704077999999,mark_price_klines_1h:1704074400000
2024-01-01T03:00:00Z,1704078000000,42620.50,42630.00,42270.00,42369.80,8119.880,1704081599999,mark_price_klines_1h:1704078000000
2024-01-01T04:00:00Z,1704081600000,42369.80,42439.80,42235.20,42436.60,6356.536,1704085199999,mark_price_klines_1h:1704081600000
2024-01-01T05:00:00Z,1704085200000,42436.60,42440.00,42207.90,42272.60,4139.557,1704088799999,mark_price_klines_1h:1704085200000
2024-01-01T06:00:00Z,1704088800000,42272.60,42461.30,42239.10,42423.30,3933.019,1704092399999,mark_price_klines_1h:1704088800000
2024-01-01T07:00:00Z,1704092400000,42423.40,42536.00,42421.70,42527.00,4455.050,1704095999999,mark_price_klines_1h:1704092400000
2024-01-01T08:00:00Z,1704096000000,42527.10,42597.30,42489.40,42588.20,3673.746,1704099599999,mark_price_klines_1h:1704096000000
2024-01-01T09:00:00Z,1704099600000,42588.20,42734.20,42570.00,42688.80,5779.875,1704103199999,mark_price_klines_1h:1704099600000
2024-01-01T10:00:00Z,1704103200000,42688.80,42795.00,42661.10,42727.70,5806.743,1704106799999,mark_price_klines_1h:1704103200000
2024-01-01T11:00:00Z,1704106800000,42727.70,42800.00,42638.00,42727.60,5965.038,1704110399999,mark_price_klines_1h:1704106800000
2024-01-01T12:00:00Z,1704110400000,42727.70,42825.20,42651.10,42682.00,6380.463,1704113999999,mark_price_klines_1h:1704110400000
2024-01-01T13:00:00Z,1704114000000,42682.00,42787.50,42647.90,42753.90,3269.775,1704117599999,mark_price_klines_1h:1704114000000
2024-01-01T14:00:00Z,1704117600000,42753.80,42755.80,42614.50,42645.60,5333.959,1704121199999,mark_price_klines_1h:1704117600000
2024-01-01T15:00:00Z,1704121200000,42645.50,42887.50,42617.60,42818.00,8176.630,1704124799999,mark_price_klines_1h:1704121200000
2024-01-01T16:00:00Z,1704124800000,42818.00,42898.90,42693.10,42759.70,7126.615,1704128399999,mark_price_klines_1h:1704124800000
2024-01-01T17:00:00Z,1704128400000,42759.70,42860.80,42734.80,42847.00,3411.019,1704131999999,mark_price_klines_1h:1704128400000
2024-01-01T18:00:00Z,1704132000000,42847.00,43268.00,42847.00,43148.00,18895.526,1704135599999,mark_price_klines_1h:1704132000000
2024-01-01T19:00:00Z,1704135600000,43148.00,43593.20,43133.30,43556.20,17037.283,1704139199999,mark_price_klines_1h:1704135600000
2024-01-01T20:00:00Z,1704139200000,43556.20,43915.50,43548.50,43753.30,23648.197,1704142799999,mark_price_klines_1h:1704139200000
2024-01-01T21:00:00Z,1704142800000,43753.20,43853.00,43531.80,43679.80,10536.944,1704146399999,mark_price_klines_1h:1704142800000
2024-01-01T22:00:00Z,1704146400000,43679.70,43723.80,43426.00,43583.90,6632.907,1704149999999,mark_price_klines_1h:1704146400000
2024-01-01T23:00:00Z,1704150000000,43584.00,44266.00,43583.90,44230.20,25589.427,1704153599999,mark_price_klines_1h:1704150000000
2024-01-02T00:00:00Z,1704153600000,44230.30,45376.00,44200.90,45179.80,59371.002,1704157199999,mark_price_klines_1h:1704153600000
2024-01-02T01:00:00Z,1704157200000,45179.70,45485.70,44750.00,44926.30,33741.976,1704160799999,mark_price_klines_1h:1704157200000
2024-01-02T02:00:00Z,1704160800000,44926.50,45428.00,44926.50,45420.00,18557.820,1704164399999,mark_price_klines_1h:1704160800000
2024-01-02T03:00:00Z,1704164400000,45420.00,45565.00,45167.30,45435.00,18878.543,1704167999999,mark_price_klines_1h:1704164400000
2024-01-02T04:00:00Z,1704168000000,45434.90,45484.40,45193.10,45211.70,11326.594,1704171599999,mark_price_klines_1h:1704168000000
2024-01-02T05:00:00Z,1704171600000,45211.50,45366.00,45153.00,45218.20,7931.571,1704175199999,mark_price_klines_1h:1704171600000
2024-01-02T06:00:00Z,1704175200000,45218.20,45346.20,45163.90,45202.90,5712.130,1704178799999,mark_price_klines_1h:1704175200000
2024-01-02T07:00:00Z,1704178800000,45202.90,45832.80,45202.50,45495.50,21647.544,1704182399999,mark_price_klines_1h:1704178800000
2024-01-02T08:00:00Z,1704182400000,45495.60,45905.90,45365.00,45816.80,27098.848,1704185999999,mark_price_klines_1h:1704182400000
