run_id,strategy_id,trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,size,gross_pnl,net_pnl,fees,slippage,holding_bars,holding_hours,attribution_source,funding_event_count,funding_pnl,net_pnl_before_funding,net_pnl_after_funding
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00001,BTCUSDT,long,2024-01-02T08:00:00+00:00,2024-01-04T08:00:00+00:00,45753.93,42853.44,0.2,-1155.489063,-1155.489063,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-1155.489063,-1155.489063
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00002,BTCUSDT,long,2024-01-08T12:00:00+00:00,2024-01-10T12:00:00+00:00,45091.06,45025.0,0.2,-34.390111,-34.390111,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-34.390111,-34.390111
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00003,BTCUSDT,long,2024-01-16T21:00:00+00:00,2024-01-18T21:00:00+00:00,43448.7,41104.65,0.2,-651.751294,-651.751294,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-651.751294,-651.751294
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00004,BTCUSDT,long,2024-01-28T04:00:00+00:00,2024-01-30T04:00:00+00:00,42700.01,43421.61,0.2,220.019233,220.019233,0.0,0.0,48,48.0,ledger_equity_segments,0,0,220.019233,220.019233
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00005,BTCUSDT,long,2024-02-05T13:00:00+00:00,2024-02-07T13:00:00+00:00,43419.91,43136.38,0.2,-107.957444,-107.957444,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-107.957444,-107.957444
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00006,BTCUSDT,long,2024-02-08T13:00:00+00:00,2024-02-10T13:00:00+00:00,44931.33,47286.55,0.2,908.188426,908.188426,0.0,0.0,48,48.0,ledger_equity_segments,0,0,908.188426,908.188426
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00007,BTCUSDT,long,2024-02-11T03:00:00+00:00,2024-02-13T03:00:00+00:00,48499.99,49772.35,0.2,469.339658,469.339658,0.0,0.0,48,48.0,ledger_equity_segments,0,0,469.339658,469.339658
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00008,BTCUSDT,long,2024-02-20T13:00:00+00:00,2024-02-22T13:00:00+00:00,52804.79,51153.84,0.2,-522.671487,-522.671487,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-522.671487,-522.671487
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00009,BTCUSDT,long,2024-02-26T15:00:00+00:00,2024-02-28T15:00:00+00:00,52718.63,60936.07,0.2,2827.787935,2827.787935,0.0,0.0,48,48.0,ledger_equity_segments,0,0,2827.787935,2827.787935
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00010,BTCUSDT,long,2024-03-31T18:00:00+00:00,2024-04-02T18:00:00+00:00,70870.97,65793.0,0.2,-273.180331,-273.180331,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-273.180331,-273.180331
