run_id,strategy_id,trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,size,gross_pnl,net_pnl,fees,slippage,holding_bars,holding_hours,holding_bucket,entry_regime,exit_regime,dominant_regime_during_trade,entry_signal_components,entry_condition,exit_reason,orderflow_value_at_entry,orderflow_bucket,trend_strength_at_entry,trend_strength_bucket,volatility_state_at_entry,compression_state_at_entry,expansion_state_at_entry,MFE,MAE,realized_R,cost_to_profit_ratio,cost_bucket,turnover_contribution,entry_feature_time,exit_feature_time,attribution_source
20260516T061000Z_attribution,btc_perp_dual_trend_v2,btc_perp_dual_trend_v2_00001,BTCUSDT,long,2024-02-08T16:00:00+00:00,2024-02-13T16:00:00+00:00,45462.057552,48695.843868,0.3122215,1009.65761426,997.89836577,11.75924849,11.75924849,120,120.0,3d_to_7d,trending_up,trending_up,trending_up,"{""buy_pressure"": 0.16496374, ""buy_ratio"": 0.68884228, ""momentum"": 0.06690313, ""orderflow_long_confirm"": 1.0, ""orderflow_short_confirm"": 0.0, ""side"": ""long"", ""target_signal"": 1.0, ""trend_long"": 1.0, ""trend_short"": 0.0, ""volatility"": 0.00336506}",trend_long_orderflow_confirmed,signal_flat_exit,0.16496374,buy_pressure,0.06690313,strong_uptrend,low_vol,False,True,1517.37852103,-170.73131853,7.03030907,0.02329354,low_cost_ratio,0.29398121,2024-02-08T15:00:00+00:00,2024-02-13T15:00:00+00:00,ledger_fills
20260516T061000Z_attribution,btc_perp_dual_trend_v2,btc_perp_dual_trend_v2_00002,BTCUSDT,long,2024-02-27T03:00:00+00:00,2024-03-03T03:00:00+00:00,56298.290312,61793.47272,0.157964,868.0409939,860.579295,7.4616989,7.4616989,120,120.0,3d_to_7d,trending_up,trending_up,trending_up,"{""buy_pressure"": 0.19611779, ""buy_ratio"": 0.74168565, ""momentum"": 0.0887026, ""orderflow_long_confirm"": 1.0, ""orderflow_short_confirm"": 0.0, ""side"": ""long"", ""target_signal"": 1.0, ""trend_long"": 1.0, ""trend_short"": 0.0, ""volatility"": 0.00448255}",trend_long_orderflow_confirmed,signal_flat_exit,0.19611779,buy_pressure,0.0887026,strong_uptrend,mid_vol,False,True,1150.7629518,-118.36089484,9.67692922,0.01719204,low_cost_ratio,0.18654247,2024-02-27T02:00:00+00:00,2024-03-03T02:00:00+00:00,ledger_fills
20260516T061000Z_attribution,btc_perp_dual_trend_v2,btc_perp_dual_trend_v2_00003,BTCUSDT,long,2024-02-27T03:00:00+00:00,2024-03-16T16:00:00+00:00,65453.11543675,68313.733572,0.0443225,126.7897473,123.80893337,2.98081393,2.98081393,445,445.0,1w_to_1m,trending_up,mean_reverting_chop,mean_reverting_chop,"{""buy_pressure"": 0.19611779, ""buy_ratio"": 0.74168565, ""momentum"": 0.0887026, ""orderflow_long_confirm"": 1.0, ""orderflow_short_confirm"": 0.0, ""side"": ""long"", ""target_signal"": 1.0, ""trend_long"": 1.0, ""trend_short"": 0.0, ""volatility"": 0.00448255}",trend_long_orderflow_confirmed,signal_flat_exit,0.19611779,buy_pressure,0.0887026,strong_uptrend,mid_vol,False,True,369.0355424,-438.97515645,4.26773467,0.04701979,low_cost_ratio,0.05928881,2024-02-27T02:00:00+00:00,2024-03-16T15:00:00+00:00,ledger_fills
20260516T061000Z_attribution,btc_perp_dual_trend_v2,btc_perp_dual_trend_v2_00004,BTCUSDT,long,2024-02-27T03:00:00+00:00,2024-04-02T15:00:00+00:00,65453.11543675,65690.893128,0.21445938,50.99365557,35.02597108,15.96768449,15.96768449,852,852.0,over_1m,trending_up,mean_reverting_chop,mean_reverting_chop,"{""buy_pressure"": 0.19611779, ""buy_ratio"": 0.74168565, ""momentum"": 0.0887026, ""orderflow_long_confirm"": 1.0, ""orderflow_short_confirm"": 0.0, ""side"": ""long"", ""target_signal"": 1.0, ""trend_long"": 1.0, ""trend_short"": 0.0, ""volatility"": 0.00448255}",trend_long_orderflow_confirmed,signal_flat_exit,0.19611779,buy_pressure,0.0887026,strong_uptrend,mid_vol,False,True,1785.61980082,-2124.03045601,0.24952543,0.62626161,high_cost_ratio,0.28125063,2024-02-27T02:00:00+00:00,2024-04-02T14:00:00+00:00,ledger_fills
20260516T061000Z_attribution,btc_perp_dual_trend_v2,btc_perp_dual_trend_v2_00005,BTCUSDT,short,2024-04-17T17:00:00+00:00,2024-04-22T17:00:00+00:00,60175.92,66187.654476,0.151386,-910.09243538,-917.74430582,7.65187043,7.65187043,120,120.0,3d_to_7d,high_vol_trend,mean_reverting_chop,mean_reverting_chop,"{""buy_pressure"": -0.06349983, ""buy_ratio"": 0.40867344, ""momentum"": -0.13249694, ""orderflow_long_confirm"": 0.0, ""orderflow_short_confirm"": 1.0, ""side"": ""short"", ""target_signal"": -1.0, ""trend_long"": 0.0, ""trend_short"": 1.0, ""volatility"": 0.00804477}",trend_short_orderflow_confirmed,signal_flat_exit,-0.06349983,sell_pressure,-0.13249694,weak_downtrend,high_vol,False,True,82.39637208,-1001.0626329,-10.07426211,0.01681559,low_cost_ratio,0.19129676,2024-04-17T16:00:00+00:00,2024-04-22T16:00:00+00:00,ledger_fills
20260516T061000Z_attribution,btc_perp_dual_trend_v2,btc_perp_dual_trend_v2_00006,BTCUSDT,short,2024-04-17T17:00:00+00:00,2024-05-05T11:00:00+00:00,60916.74459226,63729.351548,0.006235,-17.53660437,-17.92469578,0.38809141,0.38809141,426,426.0,1w_to_1m,high_vol_trend,mean_reverting_chop,mean_reverting_chop,"{""buy_pressure"": -0.06349983, ""buy_ratio"": 0.40867344, ""momentum"": -0.13249694, ""orderflow_long_confirm"": 0.0, ""orderflow_short_confirm"": 1.0, ""side"": ""short"", ""target_signal"": -1.0, ""trend_long"": 0.0, ""trend_short"": 1.0, ""volatility"": 0.00804477}",trend_short_orderflow_confirmed,signal_flat_exit,-0.06349983,sell_pressure,-0.13249694,weak_downtrend,high_vol,False,True,26.89526228,-39.02801622,-4.71931156,0.04426072,low_cost_ratio,0.00777168,2024-04-17T16:00:00+00:00,2024-05-05T10:00:00+00:00,ledger_fills
20260516T061000Z_attribution,btc_perp_dual_trend_v2,btc_perp_dual_trend_v2_00007,BTCUSDT,short,2024-04-17T17:00:00+00:00,2024-05-20T21:00:00+00:00,60916.74459226,69422.237792,0.238778,-2030.92465525,-2046.52089546,15.59624021,15.59624021,796,796.0,over_1m,high_vol_trend,trending_up,mean_reverting_chop,"{""buy_pressure"": -0.06349983, ""buy_ratio"": 0.40867344, ""momentum"": -0.13249694, ""orderflow_long_confirm"": 0.0, ""orderflow_short_confirm"": 1.0, ""side"": ""short"", ""target_signal"": -1.0, ""trend_long"": 0.0, ""trend_short"": 1.0, ""volatility"": 0.00804477}",trend_short_orderflow_confirmed,signal_flip_exit,-0.06349983,sell_pressure,-0.13249694,weak_downtrend,high_vol,False,True,1029.99148955,-2168.88155975,-14.06971131,0.01535876,low_cost_ratio,0.31122082,2024-04-17T16:00:00+00:00,2024-05-20T20:00:00+00:00,ledger_fills
20260516T061000Z_attribution,btc_perp_dual_trend_v2,btc_perp_dual_trend_v2_00008,BTCUSDT,short,2024-04-17T17:00:00+00:00,2024-06-05T18:00:00+00:00,60916.74459226,71689.354276,0.04919354,-529.94283639,-542.16625638,12.22341999,12.22341999,1177,1177.0,over_1m,high_vol_trend,trending_up,trending_up,"{""buy_pressure"": -0.06349983, ""buy_ratio"": 0.40867344, ""momentum"": -0.13249694, ""orderflow_long_confirm"": 0.0, ""orderflow_short_confirm"": 1.0, ""side"": ""short"", ""target_signal"": -1.0, ""trend_long"": 0.0, ""trend_short"": 1.0, ""volatility"": 0.00804477}",trend_short_orderflow_confirmed,signal_flip_exit,-0.06349983,sell_pressure,-0.13249694,weak_downtrend,high_vol,False,True,212.20098812,-532.35406236,-18.09204761,0.04613109,low_cost_ratio,0.06523363,2024-04-17T16:00:00+00:00,2024-06-05T17:00:00+00:00,ledger_fills
20260516T061000Z_attribution,btc_perp_dual_trend_v2,btc_perp_dual_trend_v2_00009,BTCUSDT,long,2024-06-05T18:00:00+00:00,2024-06-24T16:00:00+00:00,71689.354276,60806.06784,0.02581846,-280.98966419,-282.35799514,1.36833095,1.36833095,454,454.0,1w_to_1m,trending_up,trending_down,trending_down,"{""buy_pressure"": 0.28900288, ""buy_ratio"": 0.87581295, ""momentum"": 0.05871332, ""orderflow_long_confirm"": 1.0, ""orderflow_short_confirm"": 0.0, ""side"": ""long"", ""target_signal"": 1.0, ""trend_long"": 1.0, ""trend_short"": 0.0, ""volatility"": 0.00360689}",trend_long_orderflow_confirmed,signal_flip_exit,0.28900288,buy_pressure,0.05871332,strong_uptrend,low_vol,False,True,6.71836926,-300.12034405,-15.25510098,0.00973937,low_cost_ratio,0.03420828,2024-06-05T17:00:00+00:00,2024-06-24T15:00:00+00:00,ledger_fills
20260516T061000Z_attribution,btc_perp_dual_trend_v2,btc_perp_dual_trend_v2_00010,BTCUSDT,short,2024-06-24T16:00:00+00:00,2024-06-29T16:00:00+00:00,60806.06784,61120.368372,0.0047095,-1.48019836,-1.70988338,0.22968502,0.22968502,120,120.0,3d_to_7d,trending_down,trending_down,trending_down,"{""buy_pressure"": -0.35880855, ""buy_ratio"": 0.13597518, ""momentum"": -0.06989786, ""orderflow_long_confirm"": 0.0, ""orderflow_short_confirm"": 1.0, ""side"": ""short"", ""target_signal"": -1.0, ""trend_long"": 0.0, ""trend_short"": 1.0, ""volatility"": 0.00371577}",trend_short_orderflow_confirmed,signal_flat_exit,-0.35880855,sell_pressure,-0.06989786,weak_downtrend,low_vol,False,True,9.03314049,-7.81905174,-0.59709684,0.31034357,mid_cost_ratio,0.00574213,2024-06-24T15:00:00+00:00,2024-06-29T15:00:00+00:00,ledger_fills
