variant_id,family,side,trade_count,fill_count,profit_factor,hit_rate,mean_trade_return_bps,median_trade_return_bps,walk_forward_pass_rate,gate_passed
long_wick_reclaim_thr0p001_vol1p2_hold2_v1,long_wick_reclaim,long,1019,2038,0.16757336177510077,0.18056918547595682,-11.659088869148786,-10.60543832770488,0.0,False
long_wick_reclaim_thr0p001_vol1p2_hold3_v1,long_wick_reclaim,long,1003,2006,0.2173670426923372,0.22532402791625125,-11.221352157260366,-10.605438327704494,0.0,False
long_wick_reclaim_thr0p001_vol1p2_hold5_v1,long_wick_reclaim,long,989,1978,0.2605185213934297,0.2649140546006067,-12.02441659194855,-11.116097738501903,0.0,False
long_wick_reclaim_thr0p001_vol1p5_hold2_v1,long_wick_reclaim,long,1005,2010,0.16744243080371823,0.18009950248756218,-11.630981004924182,-10.605438327704814,0.0,False
long_wick_reclaim_thr0p001_vol1p5_hold3_v1,long_wick_reclaim,long,989,1978,0.21528389397564998,0.224469160768453,-11.234855864743757,-10.605438327704467,0.0,False
long_wick_reclaim_thr0p001_vol1p5_hold5_v1,long_wick_reclaim,long,976,1952,0.26130306928590064,0.26639344262295084,-11.955101421549687,-11.008346158153808,0.0,False
long_wick_reclaim_thr0p0015_vol1p2_hold2_v1,long_wick_reclaim,long,671,1342,0.20239603061227096,0.19970193740685543,-11.445001499855856,-10.60543832770476,0.0,False
long_wick_reclaim_thr0p0015_vol1p2_hold3_v1,long_wick_reclaim,long,667,1334,0.23960129424604185,0.2383808095952024,-11.188054148778091,-10.60543832770509,0.0,False
long_wick_reclaim_thr0p0015_vol1p2_hold5_v1,long_wick_reclaim,long,660,1320,0.30474021585484284,0.2787878787878788,-11.478392082870855,-11.178746408209314,0.0,False
long_wick_reclaim_thr0p0015_vol1p5_hold2_v1,long_wick_reclaim,long,661,1322,0.20290756309433125,0.19969742813918306,-11.400491258613249,-10.605438327704682,0.0,False
long_wick_reclaim_thr0p0015_vol1p5_hold3_v1,long_wick_reclaim,long,657,1314,0.23753173661598825,0.2374429223744292,-11.212028559012207,-10.605438327705064,0.0,False
long_wick_reclaim_thr0p0015_vol1p5_hold5_v1,long_wick_reclaim,long,650,1300,0.3053643056002654,0.28,-11.420873189503872,-11.133212322352826,0.0,False
long_wick_reclaim_thr0p0025_vol1p2_hold2_v1,long_wick_reclaim,long,315,630,0.24579542415991842,0.19682539682539682,-11.57393020651724,-10.60543832770509,0.0,False
long_wick_reclaim_thr0p0025_vol1p2_hold3_v1,long_wick_reclaim,long,315,630,0.2809116046157626,0.2571428571428571,-11.23931379350245,-10.606347521162974,0.0,False
long_wick_reclaim_thr0p0025_vol1p2_hold5_v1,long_wick_reclaim,long,315,630,0.3871394245127605,0.326984126984127,-10.778402101463149,-10.724708485146005,0.0,False
long_wick_reclaim_thr0p0025_vol1p5_hold2_v1,long_wick_reclaim,long,311,622,0.24006815528864572,0.19292604501607716,-11.793002285290292,-10.606303306244602,0.0,False
long_wick_reclaim_thr0p0025_vol1p5_hold3_v1,long_wick_reclaim,long,311,622,0.27008967889996394,0.2508038585209003,-11.538178515342263,-10.607537385844653,0.0,False
long_wick_reclaim_thr0p0025_vol1p5_hold5_v1,long_wick_reclaim,long,311,622,0.3808606387671807,0.3247588424437299,-10.917470080760094,-10.724708485146005,0.0,False
long_wick_reclaim_thr0p004_vol1p2_hold2_v1,long_wick_reclaim,long,101,202,0.3856312649358172,0.2871287128712871,-10.770836722657759,-10.605438327704627,0.0,False
long_wick_reclaim_thr0p004_vol1p2_hold3_v1,long_wick_reclaim,long,101,202,0.3757676213933761,0.297029702970297,-11.595154144729587,-10.612760713957492,0.0,False
long_wick_reclaim_thr0p004_vol1p2_hold5_v1,long_wick_reclaim,long,101,202,0.4311264544250182,0.33663366336633666,-13.590029969796559,-10.605438327703691,0.0,False
long_wick_reclaim_thr0p004_vol1p5_hold2_v1,long_wick_reclaim,long,98,196,0.3680942223599776,0.2755102040816326,-11.432924334993793,-10.605438327704748,0.0,False
long_wick_reclaim_thr0p004_vol1p5_hold3_v1,long_wick_reclaim,long,98,196,0.34434603939219105,0.2755102040816326,-12.549353286780281,-10.686162658991332,0.0,False
long_wick_reclaim_thr0p004_vol1p5_hold5_v1,long_wick_reclaim,long,98,196,0.4132342022446352,0.32653061224489793,-14.17888084683689,-10.626527580270176,0.0,False
short_wick_reject_thr0p001_vol1p2_hold2_v1,short_wick_reject,short,1025,2050,0.17254722995792127,0.17560975609756097,-11.026215244440575,-10.606080781712267,0.0,False
short_wick_reject_thr0p001_vol1p2_hold3_v1,short_wick_reject,short,1005,2010,0.23368172915585464,0.21393034825870647,-10.829827402646103,-10.606080781712123,0.0,False
short_wick_reject_thr0p001_vol1p2_hold5_v1,short_wick_reject,short,977,1954,0.28401223957008725,0.263050153531218,-10.622980591194779,-10.606080781711842,0.0,False
short_wick_reject_thr0p001_vol1p5_hold2_v1,short_wick_reject,short,1007,2014,0.16670606433130042,0.17378351539225423,-11.161388268442787,-10.606080781712272,0.0,False
short_wick_reject_thr0p001_vol1p5_hold3_v1,short_wick_reject,short,987,1974,0.2287611271154602,0.21073961499493415,-10.95955835473181,-10.60608078171216,0.0,False
short_wick_reject_thr0p001_vol1p5_hold5_v1,short_wick_reject,short,959,1918,0.27416595225286944,0.2596454640250261,-10.875591595663671,-10.60608078171216,0.0,False
short_wick_reject_thr0p0015_vol1p2_hold2_v1,short_wick_reject,short,694,1388,0.22108196458196155,0.2132564841498559,-10.617834698689439,-10.606080781712038,0.0,False
short_wick_reject_thr0p0015_vol1p2_hold3_v1,short_wick_reject,short,686,1372,0.28034232415318344,0.24489795918367346,-10.701442953339539,-10.606080781712446,0.0,False
short_wick_reject_thr0p0015_vol1p2_hold5_v1,short_wick_reject,short,671,1342,0.3441007703479162,0.29508196721311475,-9.815255412225117,-10.605207893106892,0.0,False
short_wick_reject_thr0p0015_vol1p5_hold2_v1,short_wick_reject,short,677,1354,0.21367643328820493,0.21122599704579026,-10.80471602191008,-10.606080781712059,0.0,False
short_wick_reject_thr0p0015_vol1p5_hold3_v1,short_wick_reject,short,669,1338,0.2743914809259984,0.2406576980568012,-10.88439887175106,-10.606080781712715,0.0,False
short_wick_reject_thr0p0015_vol1p5_hold5_v1,short_wick_reject,short,654,1308,0.3308479951419445,0.290519877675841,-10.161787271915072,-10.606080781709506,0.0,False
short_wick_reject_thr0p0025_vol1p2_hold2_v1,short_wick_reject,short,333,666,0.2439002786102152,0.2222222222222222,-11.506215722370634,-10.607083347549207,0.0,False
short_wick_reject_thr0p0025_vol1p2_hold3_v1,short_wick_reject,short,330,660,0.30363505118348294,0.25757575757575757,-11.705771732503585,-10.606940748591079,0.0,False
short_wick_reject_thr0p0025_vol1p2_hold5_v1,short_wick_reject,short,327,654,0.3998926896457152,0.308868501529052,-10.370638845837234,-10.60608078171106,0.0,False
short_wick_reject_thr0p0025_vol1p5_hold2_v1,short_wick_reject,short,325,650,0.2270973207601282,0.21846153846153846,-11.900949988947172,-10.607083347549207,0.0,False
short_wick_reject_thr0p0025_vol1p5_hold3_v1,short_wick_reject,short,322,644,0.2892162996638558,0.2515527950310559,-12.095700969278667,-10.607385893096342,0.0,False
short_wick_reject_thr0p0025_vol1p5_hold5_v1,short_wick_reject,short,319,638,0.38105878186946646,0.3072100313479624,-10.840781630355899,-10.60608078171106,0.0,False
short_wick_reject_thr0p004_vol1p2_hold2_v1,short_wick_reject,short,116,232,0.3362189101611143,0.29310344827586204,-11.774343355415247,-10.782625642357784,0.0,False
short_wick_reject_thr0p004_vol1p2_hold3_v1,short_wick_reject,short,114,228,0.41041970010123013,0.32456140350877194,-12.084677235269941,-10.606080781711086,0.0,False
short_wick_reject_thr0p004_vol1p2_hold5_v1,short_wick_reject,short,114,228,0.3754680748043038,0.3508771929824561,-13.733730630408585,-12.245549935783874,0.0,False
short_wick_reject_thr0p004_vol1p5_hold2_v1,short_wick_reject,short,115,230,0.3155895328476449,0.28695652173913044,-12.266093037643556,-10.810629677979733,0.0,False
short_wick_reject_thr0p004_vol1p5_hold3_v1,short_wick_reject,short,113,226,0.3997658203100431,0.3185840707964602,-12.417962207166994,-10.60608078171119,0.0,False
short_wick_reject_thr0p004_vol1p5_hold5_v1,short_wick_reject,short,113,226,0.35894022599108866,0.34513274336283184,-14.2390066355803,-12.304758255792741,0.0,False
long_absorption_reversal_thr0p001_vol1p2_hold2_v1,long_absorption_reversal,long,2193,4386,0.2790012944544413,0.2188782489740082,-8.58033482475248,-10.60543832770289,0.0,False
long_absorption_reversal_thr0p001_vol1p2_hold3_v1,long_absorption_reversal,long,2173,4346,0.34159090377298673,0.2655315232397607,-8.016200872574213,-10.605438327701927,0.0,False
long_absorption_reversal_thr0p001_vol1p2_hold5_v1,long_absorption_reversal,long,2142,4284,0.4424512560576965,0.32259570494864614,-6.8636449237268,-10.364309562504554,0.0,False
long_absorption_reversal_thr0p001_vol1p5_hold2_v1,long_absorption_reversal,long,2156,4312,0.2805960913378572,0.2193877551020408,-8.55935401573013,-10.60543832770291,0.0,False
