timestamp,fold_id,regime,liquidation_shock,recent_liquidation_shock,recovery_confirmed,is_hypothesis_active,shock_return,volume_ratio,wick_recovery_score,close,volatility_bucket,trend_strength_bucket,future_return_used_only_for_label,event_return_forward_1h,event_return_forward_4h,event_return_forward_12h,event_return_forward_24h,event_return_forward_48h
2024-01-01 00:00:00+00:00,pre_wf,compression,False,False,False,False,0.0,1.0,0.7666265367917952,42488.93,low_vol,neutral,True,0.001910615306151442,-0.0031709435845996836,0.0038525328832710315,0.060507525136547446,0.062394369545196726
2024-01-01 01:00:00+00:00,pre_wf,compression,False,False,False,False,0.001910615306151442,1.0,0.5639516757599374,42570.11,low_vol,neutral,True,-0.00026990768875156945,-0.007653022273139576,0.0033105387794394314,0.052381353959386034,0.06427702441924632
2024-01-01 02:00:00+00:00,pre_wf,liquidation_shock,False,False,False,False,-0.00026990768875156945,1.0,0.49970879440886395,42558.62,low_vol,neutral,True,-0.005584532581178747,-0.003436436613781235,0.0016210582016051855,0.06676391292762784,0.06358594334120782
2024-01-01 03:00:00+00:00,pre_wf,liquidation_shock,False,False,False,False,-0.005584532581178747,1.0,0.18392971148876644,42320.95,low_vol,neutral,True,0.0007856628927280784,0.0039944755493437345,0.010123591270990051,0.07258201907093298,0.07006506233910148
2024-01-01 04:00:00+00:00,pre_wf,compression,False,False,False,False,0.0007856628927280784,1.0,0.7728674203494313,42354.2,low_vol,neutral,True,-0.0025943117801775495,0.004126627347465162,0.006524264417696601,0.06671829476179458,0.06716972578870584
2024-01-01 05:00:00+00:00,pre_wf,liquidation_shock,False,False,False,False,-0.0025943117801775495,1.0,0.17922697277213662,42244.32,low_vol,neutral,True,0.003978049593412969,0.00876946297158998,0.012287569074375115,0.06956343480022875,0.06949289277233017
2024-01-01 06:00:00+00:00,pre_wf,compression,False,False,False,False,0.003978049593412969,1.0,0.808538997334257,42412.37,low_vol,neutral,True,0.0018303622268691644,0.006315846060948704,0.015378296473410824,0.0651802764146403,0.06743575046619665
2024-01-01 07:00:00+00:00,pre_wf,compression,False,False,False,False,0.0018303622268691644,1.0,0.9142440614012525,42490.0,low_vol,neutral,True,0.0009173923276066809,0.004151565074135055,0.019723464344551633,0.06938197222875964,0.05993033654977653
2024-01-01 08:00:00+00:00,pre_wf,compression,False,False,False,False,0.0009173923276066809,1.0,0.8303458456347839,42528.98,low_vol,neutral,True,0.0020174478673129492,0.0029071941062306372,0.025653566109509196,0.07582946969337145,0.06188791736834509
2024-01-01 09:00:00+00:00,pre_wf,compression,False,False,False,False,0.0020174478673129492,1.0,0.5681742930931635,42614.78,low_vol,neutral,True,0.00153608677552719,0.002258840712072274,0.02330928377431496,0.0718454958584791,0.06426596593951683
2024-01-01 10:00:00+00:00,pre_wf,compression,False,False,False,False,0.00153608677552719,1.0,0.4355903847847256,42680.24,low_vol,neutral,True,-0.0003242718410204626,-0.0012331233376381423,0.019651482747051086,0.0673887963141726,0.058504825652339276
2024-01-01 11:00:00+00:00,pre_wf,liquidation_shock,False,False,False,False,-0.0003242718410204626,1.0,0.3867557993372229,42666.4,low_vol,neutral,True,-0.0003229707685672434,0.0019450902818141103,0.03125621097631859,0.06421047944049652,0.030556362852267815
2024-01-01 12:00:00+00:00,pre_wf,liquidation_shock,False,False,False,False,-0.0003229707685672434,1.0,0.2533183070373195,42652.62,low_vol,neutral,True,0.0013696696709368794,-0.0005179048789969443,0.05643756467949679,0.061312528984151404,0.006198446894938536
2024-01-01 13:00:00+00:00,pre_wf,compression,False,False,False,False,0.0013696696709368794,1.0,0.8054743339831222,42711.04,low_vol,neutral,True,-0.001953359131503296,0.0012259125509470614,0.048908900368616504,0.06846075394090145,-0.004537468532726074
2024-01-01 14:00:00+00:00,pre_wf,liquidation_shock,False,False,False,False,-0.001953359131503296,1.0,0.3114397927634524,42627.61,low_vol,neutral,True,0.0028568338689407557,0.010251337102877622,0.06503742527437018,0.062043590996539555,-0.0102651778976115
2024-01-01 15:00:00+00:00,pre_wf,compression,False,False,False,False,0.0028568338689407557,1.0,0.7555544822256551,42749.39,low_vol,neutral,True,-0.0027803905506019744,0.013536099579432692,0.06183246123511954,0.05633320147960008,0.0063825472129543925
