timestamp,open_time,symbol,open,high,low,close,volume_contracts,volume_base,volume_quote,confirm,source_record_id
2026-03-02T12:00:00Z,1772452800000,BTCUSDT,66344.1,69582.6,65209.5,69082.6,5412053.76,54120.5376,3644734610.96569,1,okx:BTC-USDT-SWAP:1772452800000
2026-03-02T16:00:00Z,1772467200000,BTCUSDT,69082.6,70077.4,68529.5,68927.5,3104624.76,31046.2476,2150703950.46149,1,okx:BTC-USDT-SWAP:1772467200000
2026-03-02T20:00:00Z,1772481600000,BTCUSDT,68927.5,69496.1,68538.4,68799.5,1210145.85,12101.4585,836365330.5847,1,okx:BTC-USDT-SWAP:1772481600000
2026-03-03T00:00:00Z,1772496000000,BTCUSDT,68799.4,69242.1,68194.1,68349.9,1144002.12,11440.0212,785077932.27729,1,okx:BTC-USDT-SWAP:1772496000000
2026-03-03T04:00:00Z,1772510400000,BTCUSDT,68350,68566.3,67757.2,68142.2,1230845.2,12308.452,838185662.07925,1,okx:BTC-USDT-SWAP:1772510400000
2026-03-03T08:00:00Z,1772524800000,BTCUSDT,68142.1,68287.6,66314.7,67000.3,2721460.29,27214.6029,1823618966.48836,1,okx:BTC-USDT-SWAP:1772524800000
2026-03-03T12:00:00Z,1772539200000,BTCUSDT,67000.2,67933.5,66073.8,67686.9,3789163.06,37891.6306,2540605938.59701,1,okx:BTC-USDT-SWAP:1772539200000
2026-03-03T16:00:00Z,1772553600000,BTCUSDT,67686.4,68952.8,67433.1,68394.9,3554458.27,35544.5827,2426278563.12288,1,okx:BTC-USDT-SWAP:1772553600000
2026-03-03T20:00:00Z,1772568000000,BTCUSDT,68395,68825.3,67778.8,68294.3,1135921.83,11359.2183,775125869.80093,1,okx:BTC-USDT-SWAP:1772568000000
2026-03-04T00:00:00Z,1772582400000,BTCUSDT,68294.4,68877,67358.1,67687.1,1722787.53,17227.8753,1172318976.15939,1,okx:BTC-USDT-SWAP:1772582400000
2026-03-04T04:00:00Z,1772596800000,BTCUSDT,67687.2,69600,67418.8,69456.9,2312034.75,23120.3475,1581847489.51337,1,okx:BTC-USDT-SWAP:1772596800000
2026-03-04T08:00:00Z,1772611200000,BTCUSDT,69456.8,71877.9,69100,71088.4,5056238,50562.38,3584235053.24779,1,okx:BTC-USDT-SWAP:1772611200000
2026-03-04T12:00:00Z,1772625600000,BTCUSDT,71088.4,73453,70564.1,73352.2,5212536.66,52125.3666,3750569610.58559,1,okx:BTC-USDT-SWAP:1772625600000
2026-03-04T16:00:00Z,1772640000000,BTCUSDT,73352.2,74030,72500.1,73587.4,3098199.61,30981.9961,2271287461.02766,1,okx:BTC-USDT-SWAP:1772640000000
2026-03-04T20:00:00Z,1772654400000,BTCUSDT,73587.4,73687.9,72288.2,72644.4,1383271.49,13832.7149,1009096996.9885,1,okx:BTC-USDT-SWAP:1772654400000
2026-03-05T00:00:00Z,1772668800000,BTCUSDT,72644.3,73280.9,72303.5,72467.5,1205455.83,12054.5583,875998215.80733,1,okx:BTC-USDT-SWAP:1772668800000
