date,symbol,open,high,low,close,volume,factor
2020-01-02,XLE,30.219999313354492,30.334999084472656,30.114999771118164,30.290000915527344,23889400,1.0
2020-01-03,XLE,30.565000534057617,30.655000686645508,30.049999237060547,30.200000762939453,59005800,1.0
2020-01-06,XLE,30.30500030517578,30.59000015258789,30.200000762939453,30.434999465942383,44916200,1.0
2020-01-07,XLE,30.350000381469727,30.385000228881836,30.0,30.354999542236328,22925000,1.0
2020-01-08,XLE,30.325000762939453,30.360000610351562,29.815000534057617,29.854999542236328,38042800,1.0
2020-01-09,XLE,29.84000015258789,30.104999542236328,29.489999771118164,30.075000762939453,30733600,1.0
2020-01-10,XLE,30.059999465942383,30.084999084472656,29.8700008392334,29.905000686645508,18302400,1.0
2020-01-13,XLE,29.860000610351562,30.010000228881836,29.704999923706055,29.915000915527344,17557000,1.0
2020-01-14,XLE,29.850000381469727,29.954999923706055,29.655000686645508,29.920000076293945,34678000,1.0
2020-01-15,XLE,29.790000915527344,29.8799991607666,29.614999771118164,29.700000762939453,21661600,1.0
2020-01-16,XLE,29.875,29.975000381469727,29.735000610351562,29.75,16449000,1.0
2020-01-17,XLE,29.829999923706055,29.844999313354492,29.510000228881836,29.559999465942383,23818200,1.0
2020-01-21,XLE,29.395000457763672,29.399999618530273,28.979999542236328,29.030000686645508,34709200,1.0
2020-01-22,XLE,28.975000381469727,28.9950008392334,28.670000076293945,28.75,29355400,1.0
2020-01-23,XLE,28.450000762939453,28.729999542236328,28.229999542236328,28.639999389648438,26556000,1.0
2020-01-24,XLE,28.510000228881836,28.639999389648438,28.09000015258789,28.309999465942383,40781200,1.0
2020-01-27,XLE,27.739999771118164,27.850000381469727,27.489999771118164,27.524999618530273,43365000,1.0
2020-01-28,XLE,27.68000030517578,27.81999969482422,27.540000915527344,27.649999618530273,28600200,1.0
2020-01-29,XLE,27.80500030517578,27.905000686645508,27.325000762939453,27.360000610351562,27490800,1.0
2020-01-30,XLE,27.075000762939453,27.610000610351562,27.0049991607666,27.579999923706055,48861000,1.0
2020-01-31,XLE,27.114999771118164,27.190000534057617,26.579999923706055,26.719999313354492,66861000,1.0
2020-02-03,XLE,26.684999465942383,26.725000381469727,26.274999618530273,26.3700008392334,42578400,1.0
2020-02-04,XLE,26.75,26.959999084472656,26.415000915527344,26.46500015258789,39639600,1.0
2020-02-05,XLE,26.905000686645508,27.55500030517578,26.889999389648438,27.459999084472656,68764000,1.0
2020-02-06,XLE,27.59000015258789,27.59000015258789,27.135000228881836,27.18000030517578,30801200,1.0
2020-02-07,XLE,26.975000381469727,27.104999542236328,26.850000381469727,26.989999771118164,27386600,1.0
2020-02-10,XLE,26.850000381469727,26.915000915527344,26.690000534057617,26.854999542236328,29281200,1.0
2020-02-11,XLE,27.219999313354492,27.260000228881836,27.03499984741211,27.155000686645508,27689200,1.0
2020-02-12,XLE,27.559999465942383,27.674999237060547,27.295000076293945,27.520000457763672,34399600,1.0
2020-02-13,XLE,27.44499969482422,27.59000015258789,27.274999618530273,27.434999465942383,23949800,1.0
2020-02-14,XLE,27.530000686645508,27.549999237060547,27.1200008392334,27.290000915527344,25040000,1.0
2020-02-18,XLE,27.049999237060547,27.28499984741211,26.815000534057617,27.065000534057617,32629400,1.0
2020-02-19,XLE,27.2450008392334,27.53499984741211,27.094999313354492,27.424999237060547,24910800,1.0
2020-02-20,XLE,27.4950008392334,27.700000762939453,27.325000762939453,27.395000457763672,26101600,1.0
2020-02-21,XLE,27.135000228881836,27.15999984741211,26.844999313354492,27.06999969482422,27616400,1.0
2020-02-24,XLE,26.049999237060547,26.200000762939453,25.739999771118164,25.81999969482422,66075000,1.0
2020-02-25,XLE,25.889999389648438,25.90999984741211,24.520000457763672,24.68000030517578,85674600,1.0
2020-02-26,XLE,24.770000457763672,24.889999389648438,23.924999237060547,23.934999465942383,97656600,1.0
2020-02-27,XLE,23.315000534057617,23.764999389648438,22.645000457763672,22.655000686645508,122557400,1.0
2020-02-28,XLE,21.940000534057617,22.920000076293945,21.760000228881836,22.635000228881836,137511600,1.0
2020-03-02,XLE,23.139999389648438,23.579999923706055,22.46500015258789,23.549999237060547,73285400,1.0
2020-03-03,XLE,23.684999465942383,23.9950008392334,22.575000762939453,22.829999923706055,97190600,1.0
2020-03-04,XLE,23.31999969482422,23.375,22.834999084472656,23.3700008392334,48969000,1.0
2020-03-05,XLE,22.700000762939453,22.80500030517578,22.139999389648438,22.514999389648438,58774600,1.0
2020-03-06,XLE,21.75,21.94499969482422,20.93000030517578,21.25,123034800,1.0
2020-03-09,XLE,17.53499984741211,18.21500015258789,16.864999771118164,16.969999313354492,133113800,1.0
2020-03-10,XLE,18.334999084472656,18.40999984741211,16.68000030517578,17.774999618530273,96862200,1.0
2020-03-11,XLE,17.225000381469727,17.524999618530273,16.565000534057617,16.834999084472656,86954600,1.0
2020-03-12,XLE,15.595000267028809,16.0,14.6899995803833,14.734999656677246,77658200,1.0
2020-03-13,XLE,15.979999542236328,16.110000610351562,14.399999618530273,16.094999313354492,68196800,1.0
2020-03-16,XLE,13.975000381469727,15.5600004196167,13.835000038146973,13.904999732971191,80467200,1.0
2020-03-17,XLE,14.039999961853027,14.59000015258789,13.475000381469727,14.0,90887200,1.0
2020-03-18,XLE,13.020000457763672,13.289999961853027,11.4399995803833,11.989999771118164,104271600,1.0
2020-03-19,XLE,12.164999961853027,12.854999542236328,11.489999771118164,12.805000305175781,104453000,1.0
2020-03-20,XLE,13.130000114440918,13.420000076293945,12.380000114440918,12.930000305175781,116714400,1.0
2020-03-23,XLE,12.5649995803833,12.645000457763672,11.574999809265137,11.78499984741211,96520400,1.0
2020-03-24,XLE,12.699999809265137,13.744999885559082,12.699999809265137,13.675000190734863,89022200,1.0
2020-03-25,XLE,13.975000381469727,15.0,13.369999885559082,14.319999694824219,104869800,1.0
2020-03-26,XLE,14.46500015258789,15.5,14.28499984741211,15.194999694824219,93836200,1.0
2020-03-27,XLE,14.5600004196167,14.604999542236328,14.079999923706055,14.164999961853027,73056800,1.0
2020-03-30,XLE,13.975000381469727,14.4350004196167,13.545000076293945,14.3100004196167,84254800,1.0
2020-03-31,XLE,14.710000038146973,15.0,14.239999771118164,14.529999732971191,68701200,1.0
2020-04-01,XLE,14.0600004196167,14.239999771118164,13.614999771118164,13.8100004196167,47653000,1.0
2020-04-02,XLE,14.505000114440918,15.880000114440918,14.130000114440918,15.074999809265137,146256200,1.0
2020-04-03,XLE,15.550000190734863,15.654999732971191,14.489999771118164,14.914999961853027,127668600,1.0
2020-04-06,XLE,15.25,15.8100004196167,15.045000076293945,15.704999923706055,76041400,1.0
2020-04-07,XLE,16.479999542236328,16.934999465942383,16.010000228881836,16.040000915527344,103019000,1.0
2020-04-08,XLE,16.3799991607666,17.165000915527344,16.2450008392334,17.110000610351562,83811600,1.0
2020-04-09,XLE,17.770000457763672,18.229999542236328,16.309999465942383,16.954999923706055,182655200,1.0
2020-04-13,XLE,17.545000076293945,17.610000610351562,16.6299991607666,16.899999618530273,67685600,1.0
2020-04-14,XLE,16.985000610351562,17.190000534057617,16.709999084472656,16.81999969482422,72648200,1.0
2020-04-15,XLE,16.149999618530273,16.190000534057617,15.529999732971191,16.030000686645508,73421000,1.0
2020-04-16,XLE,15.989999771118164,16.040000915527344,15.324999809265137,15.345000267028809,64605800,1.0
2020-04-17,XLE,15.664999961853027,16.9950008392334,15.654999732971191,16.975000381469727,91706800,1.0
2020-04-20,XLE,15.975000381469727,17.049999237060547,15.890000343322754,16.44499969482422,112790000,1.0
2020-04-21,XLE,15.970000267028809,16.450000762939453,15.694999694824219,16.155000686645508,120861600,1.0
2020-04-22,XLE,16.885000228881836,16.9950008392334,16.5049991607666,16.729999542236328,73753200,1.0
2020-04-23,XLE,17.239999771118164,17.674999237060547,17.06999969482422,17.270000457763672,83207200,1.0
2020-04-24,XLE,17.614999771118164,17.770000457763672,17.03499984741211,17.309999465942383,64859200,1.0
2020-04-27,XLE,17.18000030517578,17.809999465942383,16.790000915527344,17.684999465942383,46576000,1.0
2020-04-28,XLE,17.950000762939453,18.200000762939453,17.65999984741211,18.09000015258789,59138000,1.0
2020-04-29,XLE,18.684999465942383,19.4950008392334,18.670000076293945,19.43000030517578,71075000,1.0
2020-04-30,XLE,19.540000915527344,19.540000915527344,18.719999313354492,19.0,84040200,1.0
2020-05-01,XLE,18.610000610351562,18.75,17.704999923706055,17.924999237060547,58531800,1.0
2020-05-04,XLE,17.594999313354492,18.559999465942383,17.510000228881836,18.545000076293945,52780400,1.0
2020-05-05,XLE,19.30500030517578,19.459999084472656,18.4950008392334,18.559999465942383,68733400,1.0
2020-05-06,XLE,18.649999618530273,18.809999465942383,18.059999465942383,18.075000762939453,47350200,1.0
2020-05-07,XLE,18.584999084472656,18.895000457763672,18.415000915527344,18.545000076293945,48469400,1.0
2020-05-08,XLE,18.979999542236328,19.399999618530273,18.8700008392334,19.389999389648438,49646200,1.0
2020-05-11,XLE,19.260000228881836,19.315000534057617,18.959999084472656,19.049999237060547,46531400,1.0
2020-05-12,XLE,19.239999771118164,19.264999389648438,18.690000534057617,18.71500015258789,56129000,1.0
2020-05-13,XLE,18.59000015258789,18.614999771118164,17.735000610351562,17.864999771118164,68994800,1.0
2020-05-14,XLE,17.549999237060547,18.235000610351562,17.149999618530273,18.065000534057617,61968400,1.0
2020-05-15,XLE,18.06999969482422,18.44499969482422,17.834999084472656,17.9950008392334,54427800,1.0
2020-05-18,XLE,19.024999618530273,19.59000015258789,18.975000381469727,19.46500015258789,73139600,1.0
2020-05-19,XLE,19.489999771118164,19.549999237060547,18.905000686645508,18.920000076293945,53940600,1.0
2020-05-20,XLE,19.309999465942383,19.709999084472656,19.209999084472656,19.674999237060547,54521200,1.0
2020-05-21,XLE,19.735000610351562,19.815000534057617,19.204999923706055,19.360000610351562,56241800,1.0
2020-05-22,XLE,19.204999923706055,19.260000228881836,18.844999313354492,19.239999771118164,38495000,1.0
2020-05-26,XLE,19.854999542236328,19.979999542236328,19.725000381469727,19.774999618530273,74888600,1.0
2020-05-27,XLE,20.065000534057617,20.18000030517578,19.469999313354492,20.030000686645508,71225600,1.0
2020-05-28,XLE,20.079999923706055,20.079999923706055,19.375,19.469999313354492,54356800,1.0
2020-05-29,XLE,19.299999237060547,19.524999618530273,18.975000381469727,19.3799991607666,71500400,1.0
2020-06-01,XLE,19.350000381469727,19.829999923706055,19.09000015258789,19.719999313354492,47680000,1.0
2020-06-02,XLE,19.934999465942383,20.290000915527344,19.90999984741211,20.270000457763672,50318400,1.0
2020-06-03,XLE,20.59000015258789,20.959999084472656,20.549999237060547,20.864999771118164,54601800,1.0
2020-06-04,XLE,20.75,20.950000762939453,20.450000762939453,20.8700008392334,54849400,1.0
2020-06-05,XLE,21.915000915527344,22.625,21.895000457763672,22.420000076293945,100393400,1.0
2020-06-08,XLE,23.235000610351562,23.440000534057617,22.71500015258789,23.43000030517578,95069400,1.0
2020-06-09,XLE,22.68000030517578,22.7450008392334,22.239999771118164,22.549999237060547,87399000,1.0
2020-06-10,XLE,22.34000015258789,22.360000610351562,21.43000030517578,21.440000534057617,80977000,1.0
2020-06-11,XLE,19.94499969482422,20.520000457763672,19.354999542236328,19.420000076293945,96304400,1.0
2020-06-12,XLE,20.274999618530273,20.420000076293945,19.3700008392334,19.90999984741211,85635000,1.0
2020-06-15,XLE,19.059999465942383,20.174999237060547,18.850000381469727,19.969999313354492,65694800,1.0
2020-06-16,XLE,20.920000076293945,20.950000762939453,19.959999084472656,20.545000076293945,64083800,1.0
2020-06-17,XLE,20.46500015258789,20.469999313354492,19.84000015258789,19.844999313354492,46736000,1.0
2020-06-18,XLE,19.645000457763672,20.309999465942383,19.524999618530273,20.09000015258789,36937800,1.0
2020-06-19,XLE,20.71500015258789,20.719999313354492,19.764999389648438,19.78499984741211,53934200,1.0
2020-06-22,XLE,19.440000534057617,19.690000534057617,19.209999084472656,19.625,38896400,1.0
2020-06-23,XLE,19.920000076293945,19.969999313354492,19.584999084472656,19.645000457763672,29611600,1.0
2020-06-24,XLE,19.34000015258789,19.344999313354492,18.43000030517578,18.55500030517578,64726000,1.0
2020-06-25,XLE,18.3799991607666,18.979999542236328,18.28499984741211,18.90999984741211,48034400,1.0
