date,symbol,open,high,low,close,volume,factor
2020-01-02,IWM,166.74000549316406,166.75,164.22999572753906,165.77999877929688,18297500,1.0
2020-01-03,IWM,163.74000549316406,165.41000366210938,163.6999969482422,165.1300048828125,19295600,1.0
2020-01-06,IWM,163.85000610351562,165.5399932861328,163.5399932861328,165.35000610351562,17150900,1.0
2020-01-07,IWM,164.85000610351562,165.33999633789062,164.2100067138672,164.8000030517578,11817900,1.0
2020-01-08,IWM,164.82000732421875,166.02999877929688,164.72000122070312,165.30999755859375,13832400,1.0
2020-01-09,IWM,166.1199951171875,166.4499969482422,165.25999450683594,165.50999450683594,11895400,1.0
2020-01-10,IWM,165.5500030517578,165.69000244140625,164.1999969482422,164.88999938964844,15353000,1.0
2020-01-13,IWM,164.94000244140625,166.0399932861328,164.07000732421875,165.9600067138672,17271100,1.0
2020-01-14,IWM,165.13999938964844,167.58999633789062,164.97999572753906,166.57000732421875,18323000,1.0
2020-01-15,IWM,166.14999389648438,167.9499969482422,166.13999938964844,167.3699951171875,15437200,1.0
2020-01-16,IWM,168.58999633789062,169.8699951171875,168.42999267578125,169.52999877929688,19976200,1.0
2020-01-17,IWM,170.27999877929688,170.55999755859375,168.6699981689453,169.07000732421875,18306400,1.0
2020-01-21,IWM,168.36000061035156,168.99000549316406,167.27000427246094,167.6699981689453,17935100,1.0
2020-01-22,IWM,168.19000244140625,168.6199951171875,167.17999267578125,167.55999755859375,14916300,1.0
2020-01-23,IWM,167.10000610351562,167.97000122070312,165.4499969482422,167.4499969482422,15954300,1.0
2020-01-24,IWM,168.00999450683594,168.00999450683594,164.22999572753906,165.38999938964844,20491400,1.0
2020-01-27,IWM,162.85000610351562,164.49000549316406,162.4199981689453,163.50999450683594,18539000,1.0
2020-01-28,IWM,164.5,165.39999389648438,163.49000549316406,164.8699951171875,16690400,1.0
2020-01-29,IWM,165.10000610351562,165.55999755859375,163.89999389648438,163.92999267578125,14944400,1.0
2020-01-30,IWM,162.83999633789062,164.13999938964844,161.92999267578125,163.92999267578125,21889700,1.0
2020-01-31,IWM,163.32000732421875,163.9199981689453,160.02999877929688,160.52999877929688,30439000,1.0
2020-02-03,IWM,161.60000610351562,162.92999267578125,161.49000549316406,162.32000732421875,17373200,1.0
2020-02-04,IWM,164.30999755859375,165.30999755859375,164.16000366210938,164.77000427246094,15994200,1.0
2020-02-05,IWM,166.47999572753906,167.52999877929688,165.69000244140625,167.30999755859375,17807000,1.0
2020-02-06,IWM,167.88999938964844,168.14999389648438,166.75999450683594,166.92999267578125,14768900,1.0
2020-02-07,IWM,166.2899932861328,166.36000061035156,164.39999389648438,164.8800048828125,18029600,1.0
2020-02-10,IWM,164.55999755859375,165.88999938964844,164.4600067138672,165.80999755859375,11428800,1.0
2020-02-11,IWM,166.7899932861328,167.9600067138672,166.27000427246094,166.9600067138672,15005600,1.0
2020-02-12,IWM,168.02000427246094,168.2899932861328,167.27999877929688,168.11000061035156,12123000,1.0
2020-02-13,IWM,167.22000122070312,168.9499969482422,167.11000061035156,168.5500030517578,12649300,1.0
2020-02-14,IWM,168.6999969482422,168.77999877929688,167.33999633789062,167.89999389648438,16006200,1.0
2020-02-18,IWM,167.5,168.05999755859375,166.42999267578125,167.5399932861328,13412100,1.0
2020-02-19,IWM,168.1699981689453,169.13999938964844,167.52999877929688,168.39999389648438,11084600,1.0
2020-02-20,IWM,167.89999389648438,169.11000061035156,166.58999633789062,168.80999755859375,20383800,1.0
