timestamp,open_time,symbol,open,high,low,close,confirm,source_record_id
2026-06-03T07:00:00Z,1780470000000,BTCUSDT,66945.9,67302.5,66834,67186.9,1,okx-mark:BTC-USDT-SWAP:1780470000000
2026-06-03T08:00:00Z,1780473600000,BTCUSDT,67186.9,67222,66941.3,66990.4,1,okx-mark:BTC-USDT-SWAP:1780473600000
2026-06-03T09:00:00Z,1780477200000,BTCUSDT,66990.5,67304.1,66621.8,67041.8,1,okx-mark:BTC-USDT-SWAP:1780477200000
2026-06-03T10:00:00Z,1780480800000,BTCUSDT,67041.9,67437.7,67031,67259.4,1,okx-mark:BTC-USDT-SWAP:1780480800000
2026-06-03T11:00:00Z,1780484400000,BTCUSDT,67259.5,67336.5,67023.9,67038.3,1,okx-mark:BTC-USDT-SWAP:1780484400000
2026-06-03T12:00:00Z,1780488000000,BTCUSDT,67038.4,67136.9,66755.6,67048.5,1,okx-mark:BTC-USDT-SWAP:1780488000000
2026-06-03T13:00:00Z,1780491600000,BTCUSDT,67048.7,67224.5,66607.3,66885.6,1,okx-mark:BTC-USDT-SWAP:1780491600000
2026-06-03T14:00:00Z,1780495200000,BTCUSDT,66885.8,66978.6,66629.4,66842.5,1,okx-mark:BTC-USDT-SWAP:1780495200000
2026-06-03T15:00:00Z,1780498800000,BTCUSDT,66842.4,66877.5,66053.1,66057.3,1,okx-mark:BTC-USDT-SWAP:1780498800000
2026-06-03T16:00:00Z,1780502400000,BTCUSDT,66057.3,66351.5,65534.7,66041,1,okx-mark:BTC-USDT-SWAP:1780502400000
2026-06-03T17:00:00Z,1780506000000,BTCUSDT,66040.9,66169,65684.4,65942.8,1,okx-mark:BTC-USDT-SWAP:1780506000000
2026-06-03T18:00:00Z,1780509600000,BTCUSDT,65942.8,66141,65726.7,66008.9,1,okx-mark:BTC-USDT-SWAP:1780509600000
2026-06-03T19:00:00Z,1780513200000,BTCUSDT,66009,66031.7,65216.9,65440.4,1,okx-mark:BTC-USDT-SWAP:1780513200000
2026-06-03T20:00:00Z,1780516800000,BTCUSDT,65437.8,65586.8,64688.1,64975,1,okx-mark:BTC-USDT-SWAP:1780516800000
2026-06-03T21:00:00Z,1780520400000,BTCUSDT,64974.8,65824.3,64921.8,65724.3,1,okx-mark:BTC-USDT-SWAP:1780520400000
2026-06-03T22:00:00Z,1780524000000,BTCUSDT,65733.3,65807.8,64754.8,64890.6,1,okx-mark:BTC-USDT-SWAP:1780524000000
2026-06-03T23:00:00Z,1780527600000,BTCUSDT,64889.6,64952,64062.1,64115.8,1,okx-mark:BTC-USDT-SWAP:1780527600000
2026-06-04T00:00:00Z,1780531200000,BTCUSDT,64115.9,64400,62990.1,63309.2,1,okx-mark:BTC-USDT-SWAP:1780531200000
2026-06-04T01:00:00Z,1780534800000,BTCUSDT,63309.6,63474.4,62073.8,62154,1,okx-mark:BTC-USDT-SWAP:1780534800000
2026-06-04T02:00:00Z,1780538400000,BTCUSDT,62152.6,63583.8,61341.2,63187.5,1,okx-mark:BTC-USDT-SWAP:1780538400000
2026-06-04T03:00:00Z,1780542000000,BTCUSDT,63188.4,64491.7,63185.4,64330.4,1,okx-mark:BTC-USDT-SWAP:1780542000000
2026-06-04T04:00:00Z,1780545600000,BTCUSDT,64330.4,64724.5,64225.3,64361.6,1,okx-mark:BTC-USDT-SWAP:1780545600000
2026-06-04T05:00:00Z,1780549200000,BTCUSDT,64361.6,64361.6,63613,63930.1,1,okx-mark:BTC-USDT-SWAP:1780549200000
2026-06-04T06:00:00Z,1780552800000,BTCUSDT,63930,64456.5,63858.7,63998.9,1,okx-mark:BTC-USDT-SWAP:1780552800000
2026-06-04T07:00:00Z,1780556400000,BTCUSDT,63999.3,64041.6,63471.6,63570.9,1,okx-mark:BTC-USDT-SWAP:1780556400000
2026-06-04T08:00:00Z,1780560000000,BTCUSDT,63570.9,63878.5,63216.3,63603.1,1,okx-mark:BTC-USDT-SWAP:1780560000000
