timestamp,open_time,symbol,open,high,low,close,volume_contracts,volume_base,volume_quote,confirm,source_record_id
2026-06-03T07:00:00Z,1780470000000,BTCUSDT,66945,67300,66828.5,67187.5,393605.59,3936.0559,264229970.94623,1,okx:BTC-USDT-SWAP:1780470000000
2026-06-03T08:00:00Z,1780473600000,BTCUSDT,67185.6,67222,66940.4,66993.5,293933.65,2939.3365,197097429.66902,1,okx:BTC-USDT-SWAP:1780473600000
2026-06-03T09:00:00Z,1780477200000,BTCUSDT,66993.6,67302.3,66620.8,67043.4,669281.95,6692.8195,448110882.75576,1,okx:BTC-USDT-SWAP:1780477200000
2026-06-03T10:00:00Z,1780480800000,BTCUSDT,67043.4,67450,67033.9,67260,425689.44,4256.8944,286285069.34831,1,okx:BTC-USDT-SWAP:1780480800000
2026-06-03T11:00:00Z,1780484400000,BTCUSDT,67260,67342.9,67022,67039.8,216191.85,2161.9185,145213918.17083,1,okx:BTC-USDT-SWAP:1780484400000
2026-06-03T12:00:00Z,1780488000000,BTCUSDT,67039.9,67140.1,66754.9,67053,469123.43,4691.2343,314121945.23396,1,okx:BTC-USDT-SWAP:1780488000000
2026-06-03T13:00:00Z,1780491600000,BTCUSDT,67052.9,67224.5,66610.4,66886.2,732126.22,7321.2622,489732094.90899,1,okx:BTC-USDT-SWAP:1780491600000
2026-06-03T14:00:00Z,1780495200000,BTCUSDT,66886.1,66978.2,66633,66840.1,460683.95,4606.8395,307678519.59582,1,okx:BTC-USDT-SWAP:1780495200000
2026-06-03T15:00:00Z,1780498800000,BTCUSDT,66840.2,66880.2,66050,66057.6,1101919,11019.19,731604645.57968,1,okx:BTC-USDT-SWAP:1780498800000
2026-06-03T16:00:00Z,1780502400000,BTCUSDT,66057.6,66353.7,65528.5,66040.1,1423221.85,14232.2185,937760321.02391,1,okx:BTC-USDT-SWAP:1780502400000
2026-06-03T17:00:00Z,1780506000000,BTCUSDT,66040.2,66174.8,65688,65943.3,483453.88,4834.5388,318664506.05668,1,okx:BTC-USDT-SWAP:1780506000000
2026-06-03T18:00:00Z,1780509600000,BTCUSDT,65943.3,66143.5,65685.6,66011.4,405901.45,4059.0145,267455482.1749,1,okx:BTC-USDT-SWAP:1780509600000
2026-06-03T19:00:00Z,1780513200000,BTCUSDT,66011.4,66032.5,65215.3,65436.6,650985.98,6509.8598,426872276.21114,1,okx:BTC-USDT-SWAP:1780513200000
2026-06-03T20:00:00Z,1780516800000,BTCUSDT,65436.6,65587.6,64684.3,64970.4,1035853.46,10358.5346,674250595.83309,1,okx:BTC-USDT-SWAP:1780516800000
2026-06-03T21:00:00Z,1780520400000,BTCUSDT,64970.4,65826.8,64923,65743,581449.86,5814.4986,380632668.07937,1,okx:BTC-USDT-SWAP:1780520400000
2026-06-03T22:00:00Z,1780524000000,BTCUSDT,65743,65815.9,64745.1,64887.9,683579.04,6835.7904,445293976.06827,1,okx:BTC-USDT-SWAP:1780524000000
2026-06-03T23:00:00Z,1780527600000,BTCUSDT,64887.8,64953.2,64056,64117.3,1048389.16,10483.8916,675455211.08801,1,okx:BTC-USDT-SWAP:1780527600000
2026-06-04T00:00:00Z,1780531200000,BTCUSDT,64117.2,64400,62934.5,63316,2135604.36,21356.0436,1357840681.74907,1,okx:BTC-USDT-SWAP:1780531200000
2026-06-04T01:00:00Z,1780534800000,BTCUSDT,63316.1,63472.4,62071.5,62152,2110219.02,21102.1902,1324089170.48916,1,okx:BTC-USDT-SWAP:1780534800000
2026-06-04T02:00:00Z,1780538400000,BTCUSDT,62152,63598,61339.5,63191.8,3175680.71,31756.8071,1984461267.83902,1,okx:BTC-USDT-SWAP:1780538400000
2026-06-04T03:00:00Z,1780542000000,BTCUSDT,63191.7,64500,63184.4,64330.4,1563588.63,15635.8863,1001450950.94729,1,okx:BTC-USDT-SWAP:1780542000000
2026-06-04T04:00:00Z,1780545600000,BTCUSDT,64330.4,64737.3,64229,64359,758445.94,7584.4594,488835308.61166,1,okx:BTC-USDT-SWAP:1780545600000
2026-06-04T05:00:00Z,1780549200000,BTCUSDT,64359.1,64359.1,63607,63927.6,1096977.61,10969.7761,701789152.59149,1,okx:BTC-USDT-SWAP:1780549200000
2026-06-04T06:00:00Z,1780552800000,BTCUSDT,63927.6,64458.9,63860,64009.9,483065.37,4830.6537,310074058.79167,1,okx:BTC-USDT-SWAP:1780552800000
2026-06-04T07:00:00Z,1780556400000,BTCUSDT,64010,64041.8,63438.5,63564.9,989017.58,9890.1758,630136641.2014,1,okx:BTC-USDT-SWAP:1780556400000
2026-06-04T08:00:00Z,1780560000000,BTCUSDT,63564.8,63879.2,63212.7,63600.2,907989.68,9079.8968,576614589.22,1,okx:BTC-USDT-SWAP:1780560000000
